kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIT60053,Pengembangan Gim,Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F4.13,Selasa_07:00-07:50
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '47.0', '105.0', '31.0', '60.0', '75.0', '82.0', '103.0', '62.0']",reguler,F3.18,Rabu_15:20-16:10
CIT61015,Jaringan Komputer,Teknologi Informasi,1,"Pengelola, Pengampu",79.0,"['79.0', '17.0', '35.0', '75.0', '90.0', '104.0', '46.0']",reguler,F3.10,Rabu_17:00-17:50
CIT61016,Data Sains,Teknologi Informasi,1,Pengampu,15.0,"['15.0', '89.0']",reguler,F2.5,Jumat_11:15-12:05_AGAMA_KHUSUS
CIT61021,Data Warehouse,Teknologi Informasi,1,"Pengelola, Pengampu",73.0,"['73.0', '102.0', '16.0', 'Belum Ada Dosen']",reguler,F11.4,Jumat_12:50-13:40
CIT61024,Teknologi Keamanan Siber,Teknologi Informasi,1,Pengampu,17.0,"['17.0', '35.0', '75.0', '46.0']",reguler,F2.2,Selasa_13:40-14:30
CIT61026,Internet of Things,Teknologi Informasi,1,"Pengelola, Pengampu",90.0,"['90.0', '17.0', '35.0', '96.0']",reguler,F3.16,Rabu_14:30-15:20
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22.0,"['22.0', '45.0', '47.0', '4.0', '16.0', '62.0']",reguler,F4.10,Senin_09:30-10:20
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '31.0', '67.0', '108.0']",reguler,F3.17,Senin_07:00-07:50
CIT62010,Sistem Operasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '16.0', '20.0', '75.0', 'Belum Ada Dosen', '79.0', '58.0', '65.0', '103.0']",reguler,F3.18,Senin_15:20-16:10
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92.0,"['92.0', '16.0', '54.0', '63.0', '77.0', '93.0', '100.0', '107.0', '103.0']",reguler,F2.9,Kamis_13:40-14:30
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,"Pengelola, Pengampu",16.0,"['16.0', '47.0', '20.0', '31.0', '60.0', '70.0', '75.0', '22.0', '96.0']",reguler,F4.12,Selasa_11:10-12:00
CIT62015,Administrasi Sistem,Teknologi Informasi,1,Pengampu,75.0,"['75.0', '104.0', '65.0']",reguler,F4.9,Rabu_09:30-10:20
CIT62017,Teknologi Integrasi Sistem,Teknologi Informasi,1,"Pengelola, Pengampu",16.0,"['16.0', '20.0', 'Belum Ada Dosen', '22.0']",reguler,F3.1,Rabu_07:00-07:50
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '4.0', '1.0', '6.0', '16.0', '31.0', '40.0', 'Belum Ada Dosen', '67.0']",reguler,F3.18,Senin_10:20-11:10
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '30.0', '52.0', '92.0', '93.0', '107.0', '20.0', '29.0', '37.0', '48.0', '63.0', '97.0', '3.0', '16.0', '89.0', '96.0']",reguler,F4.4,Jumat_13:40-14:30
COM60004,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,31.0,"['31.0', '75.0', '3.0']",reguler,F3.1,Rabu_17:50-18:40
COM60011,Arsitektur dan Organisasi Komputer,Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.8,Kamis_15:20-16:10
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,"['47.0', '4.0', '67.0', '75.0', '76.0', '82.0', '91.0', '103.0', '47.0', '4.0', '31.0', '75.0', '76.0', '82.0', '91.0', '67.0', '47.0', '4.0', '31.0', '67.0', '76.0', '82.0', '87.0', '91.0', '23.0']",reguler,F3.5a,Jumat_15:20-16:10
COM60015,Matematika Diskret,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,"['103.0', '100.0', '100.0', '103.0', '100.0', '103.0']",reguler,F3.18,Selasa_07:00-07:50
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,"['47.0', '4.0', '83.0', '90.0', '108.0', '103.0', '47.0', '4.0', '108.0', '83.0', '90.0', '103.0', '47.0', '4.0', '83.0', '90.0', '102.0', '108.0', '62.0', '103.0']",reguler,F3.5a,Kamis_17:00-17:50
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16.0,"['16.0', '20.0', '47.0', '4.0', '52.0', '70.0', '1.0', '31.0', '37.0', '55.0', '65.0', '75.0', '76.0', '80.0', '82.0', '87.0', '91.0', '98.0', '22.0', '23.0', '20.0', '47.0', '4.0', '16.0', '22.0', '52.0', '80.0', '1.0', '31.0', '55.0', '70.0', '75.0', '76.0', '82.0', '91.0', '98.0', '67.0']",reguler,F11.1,Kamis_16:10-17:00
COM60025,Kalkulus,Teknologi Informasi,1,Pengampu,100.0,"['100.0', '75.0', '103.0']",reguler,F4.4,Kamis_17:00-17:50
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",100.0,"['100.0', 'Belum Ada Dosen', '103.0', '87.0', '100.0', '103.0', '103.0']",reguler,F2.9,Senin_17:50-18:40
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '4.0', '22.0', '48.0', '77.0', 'Belum Ada Dosen', '59.0', '87.0', '4.0', '4.0', '96.0']",reguler,F9.2,Kamis_07:50-08:40
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '22.0', '40.0', '76.0', 'Belum Ada Dosen', '47.0', '48.0', '47.0', '87.0', '4.0', '108.0', '22.0', '40.0', '76.0', '14.0', '4.0', '47.0', '22.0', '48.0', '76.0']",reguler,F3.18,Senin_12:50-13:40
CSD60701,Manajemen Layanan Teknologi Informasi,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",108.0,"['108.0', '6.0', '94.0', '108.0', '6.0', '15.0', '21.0', '87.0', '47.0', '22.0']",reguler,F3.5a,Selasa_07:50-08:40
CSD60702,Sistem Pendukung Keputusan,Pendidikan Teknologi Informasi,1,Pengampu,83.0,"['83.0', '108.0', '94.0', '30.0', '52.0', '107.0', '108.0', '15.0', '16.0', '20.0', '29.0', '73.0', '83.0', '92.0']",reguler,F3.7b,Rabu_08:40-09:30
CSD60703,Tata Kelola Teknologi Informasi,Sistem Informasi,1,"Pengelola, Pengampu",6.0,"['6.0', '87.0', '108.0', '6.0', '15.0']",reguler,F4.3,Kamis_12:50-13:40
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",72.0,"['72.0', '102.0', '108.0', '75.0', '91.0', '22.0', '102.0', '1.0', '16.0', '20.0', '29.0', 'Belum Ada Dosen', '73.0', '75.0', '91.0', '98.0', '108.0']",reguler,F3.17,Jumat_10:20-11:10
CSD60705,Pemrograman SQL,Sistem Informasi,1,"Pengelola, Pengampu",22.0,"['22.0', '72.0', '73.0', '102.0', '1.0', '20.0', '60.0', 'Belum Ada Dosen', '70.0', '91.0', '98.0', '16.0', '102.0', '60.0', '91.0']",reguler,F3.10,Selasa_13:40-14:30
